,Countries,Total Cases,Todays Cases,Total Deaths
1, China ,"80,849",+25,"3,199"
2, Italy ,"24,747","+3,590","1,809"
3, Iran ,"13,938","+1,209",724
4, S. Korea ,"8,162",+76,75
5, Spain ,"7,798","+1,407",292
6, Germany ,"5,813","+1,214",11
7, France ,"4,499",+30,91
8, USA ,"3,329",+386,63
9, Switzerland ,"2,217",+842,14
10, UK ,"1,372",+232,35
11, Norway ,"1,232",+123,3
12, Netherlands ,"1,135",+176,20
13, Sweden ,"1,032",+71,3
14, Belgium ,886,+197,4
15, Denmark ,864,+28,2
16, Austria ,860,+205,1
17, Japan ,839,+35,24
18, Diamond Princess ,696,,7
19, Malaysia ,428,+190,
20, Qatar ,401,+64,
21, Greece ,331,+103,4
22, Canada ,317,+65,1
23, Australia ,300,+52,5
24, Czechia ,253,+64,
25, Portugal ,245,+76,
26, Finland ,244,+19,
27, Singapore ,226,+14,
28, Slovenia ,219,+38,1
29, Bahrain ,214,+2,
30, Israel ,213,+20,
31, Estonia ,171,+56,
32, Iceland ,171,+10,
33, Ireland ,169,+40,2
34, Hong Kong ,149,+7,4
35, Philippines ,140,+29,11
36, Romania ,139,+16,
37, Iraq ,124,+14,10
38, Poland ,123,+19,3
39, Brazil ,121,,
40, Indonesia ,117,+21,5
41, Thailand ,114,+32,1
42, Kuwait ,112,+8,
43, India ,111,+11,2
44, Egypt ,110,,2
45, Saudi Arabia ,103,,
46, San Marino ,101,,5
47, Lebanon ,99,+6,3
48, UAE ,98,+13,
49, Chile ,75,+14,
50, Russia ,63,+4,
51, Slovakia ,61,+17,
52, South Africa ,61,+23,
53, Luxembourg ,59,+8,1
54, Taiwan ,59,+6,1
55, Vietnam ,56,+3,
56, Pakistan ,53,+20,
57, Bulgaria ,51,+10,2
58, Brunei ,50,+10,
59, Croatia ,49,+10,
60, Algeria ,48,+9,4
61, Serbia ,48,+2,
62, Argentina ,45,,2
63, Panama ,43,,1
64, Peru ,43,,
65, Albania ,42,+4,1
66, Mexico ,41,+15,
67, Palestine ,38,,
68, Colombia ,34,+10,
69, Georgia ,33,+3,
70, Cyprus ,33,+7,
71, Hungary ,32,+2,1
72, Latvia ,30,+4,
73, Ecuador ,28,,2
74, Morocco ,28,+10,1
75, Belarus ,27,,
76, Costa Rica ,27,,
77, Armenia ,26,+6,
78, Senegal ,24,,
79, Bosnia and Herzegovina ,24,+3,
80, Azerbaijan ,23,+4,1
81, Moldova ,23,+11,
82, Oman ,22,+2,
83, Malta ,21,+3,
84, Tunisia ,20,+2,
85, North Macedonia ,19,,
86, Sri Lanka ,18,+8,
87, Afghanistan ,16,+5,
88, Maldives ,13,+3,
89, Cambodia ,12,+5,
90, Lithuania ,12,+3,
91, Macao ,11,+1,
92, Dominican Republic ,11,,
93, Faeroe Islands ,11,+1,
94, Jordan ,10,+9,
95, Bolivia ,10,,
96, Jamaica ,10,+2,
97, Martinique ,10,,
98, Venezuela ,10,+8,
99, Kazakhstan ,9,+3,
100, New Zealand ,8,,
101, French Guiana ,7,,
102, Liechtenstein ,7,+3,
103, Paraguay ,7,,
104, Réunion ,7,+1,
105, Ghana ,6,+4,
106, Turkey ,6,,
107, Uruguay ,6,,
108, Andorra ,5,+4,
109, Bangladesh ,5,,
110, Guyana ,4,+3,1
111, Ivory Coast ,4,+2,
112, Cuba ,4,,
113, Ethiopia ,4,+3,
114, Puerto Rico ,4,,
115, Ukraine ,3,,1
116, Burkina Faso ,3,+1,
117, Channel Islands ,3,,
118, French Polynesia ,3,,
119, Guadeloupe ,3,,
120, Guam ,3,+3,
121, Honduras ,3,,
122, Kenya ,3,+2,
123, Seychelles ,3,+1,
124, Monaco ,2,,
125, Nigeria ,2,,
126, Aruba ,2,,
127, Cameroon ,2,,
128, Curaçao ,2,,
129, DRC ,2,,
130, Namibia ,2,,
131, Saint Lucia ,2,+1,
132, Saint Martin ,2,,
133, Trinidad and Tobago ,2,,
134, Sudan ,1,,1
135, Nepal ,1,,
136, Antigua and Barbuda ,1,,
137, Bahamas ,1,+1,
138, Bhutan ,1,,
139, Cayman Islands ,1,,
140, CAR ,1,+1,
141, Congo ,1,+1,
142, Equatorial Guinea ,1,,
143, Gabon ,1,,
144, Gibraltar ,1,,
145, Guatemala ,1,,
146, Guinea ,1,,
147, Vatican City ,1,,
148, Mauritania ,1,,
149, Mayotte ,1,,
150, Mongolia ,1,,
151, Rwanda ,1,,
152, St. Barth ,1,,
153, St. Vincent Grenadines ,1,,
154, Suriname ,1,,
155, Eswatini ,1,,
156, Togo ,1,,
157, U.S. Virgin Islands ,1,,
158, Uzbekistan ,1,+1,
